word1,word2,similarity_score,ground_truth_similarity_score,label
मोहब्बत,सेक्स,3.3713991261179688,6.8,1
बाघ,बिल्ली,6.474872289532828,7.0,1
किताब,कागज़,5.339189755603603,7.6,1
कंप्यूटर,कीबोर्ड,6.908112722296737,7.6,1
कंप्यूटर,इंटरनेट,7.116359577111239,8.0,0
विमान,कार,6.274393391840766,6.0,1
रेलगाड़ी,कार,6.108957450092973,6.2,1
टेलीफोन,संचार,5.805759819164615,7.6,1
टेलीविजन,रेडियो,7.580018203703229,6.4,1
मीडिया,रेडियो,5.306770212589155,5.8,1
ब्रेड,मक्खन,7.221522702916438,6.6,1
खीरा,आलू,8.323273371786282,5.8,0
चिकित्सक,नर्स,7.0034613213717805,7.6,1
प्रोफ़ेसर,चिकित्सक,5.4509748414009955,4.6,1
छात्र,प्रोफ़ेसर,5.060731295185841,7.0,1
होशियार,छात्र,3.815128276006873,5.2,1
होशियार,बेवकूफ,5.93048926677978,6.2,1
किताब,पुस्तकालय,4.703849134484671,7.6,1
बैंक,पैसे,4.9102877703133405,8.0,0
लकड़ी,जंगल,5.4665201555568945,7.0,1
प्रोफ़ेसर,खीरा,1.2081575002615672,0.0,1
राजा,रानी,7.052773906555169,8.2,0
बिशप,रबी,1.4684349448972247,7.0,1
यरूशलेम,इजराइल,5.267121295814766,7.8,1
पवित्र,सेक्स,2.620598439315776,1.0,1
माराडोना,फ़ुटबॉल,6.902350473135649,7.8,1
फ़ुटबॉल,सॉकर,8.43531113758771,9.0,1
फ़ुटबॉल,बास्केटबाल,7.390758024061648,6.4,1
फ़ुटबॉल,टेनिस,7.513460868313693,5.8,1
टेनिस,रैकेट,5.263865468746223,7.4,1
कानून,वकील,4.93562058107327,7.8,1
चलचित्र,पॉपकॉर्न,4.097071688569121,6.6,1
चलचित्र,आलोचक,2.9972128209590987,6.6,1
चलचित्र,थिएटर,5.0014334541447445,8.4,0
पीना,कार,3.1831845085101227,1.4,1
पीना,कान,3.391918690180478,0.4,1
पीना,मुंह,4.137031110528417,7.0,1
बच्चा,मां,5.511191384215618,7.2,1
पीना,मां,2.7913029985202735,1.8,1
मणि,गहना,4.01812379504041,6.8,1
भट्ठी,स्टोव,7.022818446707469,8.4,0
भोजन,फल,5.98104908016071,6.6,1
पक्षी,सारस,8.535008744515869,7.4,0
भाई,साधु,2.832367964679449,1.4,1
यात्रा,कार,4.1976368051318085,6.2,1
साधु,गुलाम,2.4771391899003308,0.2,1
कांच,जादूगर,3.6818292614082635,2.0,1
पैसे,मुद्रा,4.150248467779603,8.6,0
पैसे,धन,5.87088994355605,9.2,0
पैसे,संपत्ति,5.0789411021064375,8.4,0
पैसे,बैंक,4.9102877703133405,8.2,0
पैसे,जमा,4.823822423358062,6.6,1
पैसे,ऑपरेशन,3.3885909418574984,2.6,1
बाघ,जैगुआर,4.780786044902728,8.0,0
बाघ,जानवर,7.225027349502588,7.6,1
बाघ,चिड़ियाघर,7.051327707295009,6.8,1
मनोविज्ञान,चिंता,3.4812647806150827,6.2,1
मनोविज्ञान,डर,2.0202544262229223,5.2,1
मनोविज्ञान,डिप्रेशन,4.4156822872692745,7.0,1
मनोविज्ञान,क्लिनिक,4.6497448601352325,6.4,1
मनोविज्ञान,चिकित्सक,5.237498892367575,7.0,1
मनोविज्ञान,मन,3.905772471006068,7.4,1
मनोविज्ञान,स्वास्थ्य,5.233972223354333,6.2,1
मनोविज्ञान,विज्ञान,8.07686314463837,7.0,0
मनोविज्ञान,अनुशासन,5.243755137300621,4.2,1
accuracy is:0.8,,,,
