word1,word2,similarity_score,ground_truth_similarity_score,label
मोहब्बत,सेक्स,3.887342855272497,6.8,0
बाघ,बिल्ली,6.253619392882269,7.0,1
किताब,कागज़,5.756130147076945,7.6,1
कंप्यूटर,कीबोर्ड,6.72208902878843,7.6,1
कंप्यूटर,इंटरनेट,7.179460589881832,8.0,1
विमान,कार,6.3943519728254845,6.0,1
रेलगाड़ी,कार,6.65293676811406,6.2,1
टेलीफोन,संचार,5.479849551470938,7.6,1
टेलीविजन,रेडियो,7.466255079773191,6.4,1
मीडिया,रेडियो,5.544225794592626,5.8,1
ब्रेड,मक्खन,7.311728690174897,6.6,1
खीरा,आलू,8.271246966713841,5.8,1
चिकित्सक,नर्स,7.021422596001829,7.6,1
प्रोफ़ेसर,चिकित्सक,5.31865485973321,4.6,0
छात्र,प्रोफ़ेसर,4.9318945987455285,7.0,0
होशियार,छात्र,3.7200196762081066,5.2,0
होशियार,बेवकूफ,6.193171712174269,6.2,1
किताब,पुस्तकालय,4.463296322732005,7.6,0
बैंक,पैसे,4.85005637080332,8.0,0
लकड़ी,जंगल,5.2881798773170825,7.0,1
प्रोफ़ेसर,खीरा,0.8579072500033513,0.0,1
राजा,रानी,6.6944456496335025,8.2,1
बिशप,रबी,0.8331264606666983,7.0,0
यरूशलेम,इजराइल,4.983847272192701,7.8,0
पवित्र,सेक्स,2.425806393746738,1.0,1
माराडोना,फ़ुटबॉल,6.930302088072078,7.8,1
फ़ुटबॉल,सॉकर,8.42607120973421,9.0,1
फ़ुटबॉल,बास्केटबाल,7.249078789575303,6.4,1
फ़ुटबॉल,टेनिस,7.415844601048427,5.8,1
टेनिस,रैकेट,4.9736349518003555,7.4,0
कानून,वकील,5.364930966986971,7.8,1
चलचित्र,पॉपकॉर्न,4.021348013997899,6.6,0
चलचित्र,आलोचक,3.19000939734505,6.6,0
चलचित्र,थिएटर,4.818366044505772,8.4,0
पीना,कार,2.0415074777013165,1.4,1
पीना,कान,3.1792905345545135,0.4,1
पीना,मुंह,4.266374966312437,7.0,0
बच्चा,मां,5.698374598339645,7.2,1
पीना,मां,2.3757939449302503,1.8,1
मणि,गहना,3.8758621740210843,6.8,0
भट्ठी,स्टोव,7.105972022107191,8.4,1
भोजन,फल,5.89543419304761,6.6,1
पक्षी,सारस,8.236676137390853,7.4,1
भाई,साधु,3.1637901845282994,1.4,1
यात्रा,कार,4.361547774562301,6.2,0
साधु,गुलाम,2.954923211650117,0.2,1
कांच,जादूगर,3.535125437350135,2.0,1
पैसे,मुद्रा,4.165174341742209,8.6,0
पैसे,धन,6.511806031707808,9.2,1
पैसे,संपत्ति,5.552643829507911,8.4,1
पैसे,बैंक,4.85005637080332,8.2,0
पैसे,जमा,4.878484828389597,6.6,0
पैसे,ऑपरेशन,2.780091142206518,2.6,1
बाघ,जैगुआर,4.78070487811021,8.0,0
बाघ,जानवर,7.266578732880316,7.6,1
बाघ,चिड़ियाघर,6.862779888906388,6.8,1
मनोविज्ञान,चिंता,3.5351082477639166,6.2,0
मनोविज्ञान,डर,2.211813538100295,5.2,0
मनोविज्ञान,डिप्रेशन,4.024216981504408,7.0,0
मनोविज्ञान,क्लिनिक,4.525316265855388,6.4,0
मनोविज्ञान,चिकित्सक,5.112589427864983,7.0,1
मनोविज्ञान,मन,4.022969527387209,7.4,0
मनोविज्ञान,स्वास्थ्य,5.202593169488487,6.2,1
मनोविज्ञान,विज्ञान,7.954474067008572,7.0,1
मनोविज्ञान,अनुशासन,5.45580767049402,4.2,0
accuracy is:0.6153846153846154,,,,
