word1,word2,similarity_score,ground_truth_similarity_score,label
मोहब्बत,सेक्स,3.1299959371325654,6.8,1
बाघ,बिल्ली,5.336025086710341,7.0,1
किताब,कागज़,5.469306353842445,7.6,1
कंप्यूटर,कीबोर्ड,7.682935236169726,7.6,1
कंप्यूटर,इंटरनेट,8.108631830466464,8.0,1
विमान,कार,6.373138959874708,6.0,1
रेलगाड़ी,कार,7.48871491081988,6.2,1
टेलीफोन,संचार,3.7456738950829553,7.6,1
टेलीविजन,रेडियो,8.019670625748532,6.4,0
मीडिया,रेडियो,4.965292989948403,5.8,1
ब्रेड,मक्खन,8.236988521160223,6.6,0
खीरा,आलू,8.303862238978729,5.8,0
चिकित्सक,नर्स,7.180417375683974,7.6,1
प्रोफ़ेसर,चिकित्सक,4.706634485008136,4.6,1
छात्र,प्रोफ़ेसर,4.458838372254736,7.0,1
होशियार,छात्र,2.221747797624835,5.2,1
होशियार,बेवकूफ,6.045512359230147,6.2,1
किताब,पुस्तकालय,2.8826952714752996,7.6,1
बैंक,पैसे,4.355809047764806,8.0,0
लकड़ी,जंगल,5.527214492429624,7.0,1
प्रोफ़ेसर,खीरा,-0.05156218513007173,0.0,1
राजा,रानी,6.619058737140449,8.2,0
बिशप,रबी,-1.1893064406849434,7.0,1
यरूशलेम,इजराइल,5.509077694579615,7.8,1
पवित्र,सेक्स,0.9757400530760562,1.0,1
माराडोना,फ़ुटबॉल,7.276397621034221,7.8,1
फ़ुटबॉल,सॉकर,8.768568621236367,9.0,1
फ़ुटबॉल,बास्केटबाल,7.947430980364381,6.4,1
फ़ुटबॉल,टेनिस,8.422405048101224,5.8,0
टेनिस,रैकेट,2.219862854306926,7.4,1
कानून,वकील,3.8418790354761323,7.8,1
चलचित्र,पॉपकॉर्न,2.4394680555872434,6.6,1
चलचित्र,आलोचक,3.58659360543904,6.6,1
चलचित्र,थिएटर,5.928101569565869,8.4,0
पीना,कार,0.14033538528061917,1.4,1
पीना,कान,1.3512139355097454,0.4,1
पीना,मुंह,2.265224321780172,7.0,1
बच्चा,मां,5.297820088789215,7.2,1
पीना,मां,1.695901332469383,1.8,1
मणि,गहना,3.6144582385147044,6.8,1
भट्ठी,स्टोव,7.895333965409792,8.4,0
भोजन,फल,6.40523107009823,6.6,1
पक्षी,सारस,8.715890655499361,7.4,0
भाई,साधु,3.442344950631325,1.4,1
यात्रा,कार,3.712617479836494,6.2,1
साधु,गुलाम,2.012245846996011,0.2,1
कांच,जादूगर,2.274899833230931,2.0,1
पैसे,मुद्रा,2.7428430291574,8.6,0
पैसे,धन,6.681554299544316,9.2,0
पैसे,संपत्ति,4.640902835522715,8.4,0
पैसे,बैंक,4.355809047764806,8.2,0
पैसे,जमा,4.152074039379181,6.6,1
पैसे,ऑपरेशन,1.5446108454741192,2.6,1
बाघ,जैगुआर,2.1827160121359395,8.0,0
बाघ,जानवर,7.367996803216661,7.6,1
बाघ,चिड़ियाघर,6.227161109951721,6.8,1
मनोविज्ञान,चिंता,1.6610096020700993,6.2,1
मनोविज्ञान,डर,-0.40998181497576325,5.2,1
मनोविज्ञान,डिप्रेशन,3.725542980584946,7.0,1
मनोविज्ञान,क्लिनिक,3.094649500506688,6.4,1
मनोविज्ञान,चिकित्सक,4.528347156719982,7.0,1
मनोविज्ञान,मन,2.513045154462283,7.4,1
मनोविज्ञान,स्वास्थ्य,4.30441619442178,6.2,1
मनोविज्ञान,विज्ञान,7.902854327953383,7.0,1
मनोविज्ञान,अनुशासन,5.841777515155612,4.2,1
accuracy is:0.7846153846153846,,,,
